Y,X1,X2,X3,X4,X5,X6,X7,X8
Won,57,8,1,38.07809786,34.90085909,35.32922881,55.16006203,40.7270886
Not Won,70,3,0,35.2152361,30.29425711,43.67885334,11.05280768,22.18627587
Not Won,38,3,0,56.44973024,64.970598,58.57187054,49.33228086,68.85047354
Not Won,30,3,0,69.85359533,71.81449449,39.3327089,72.69293921,87.21593979
Not Won,71,1,0,18.859306,18.4000875,7.06765764,69.18719824,21.86804749
Won,39,2,1,68.97188778,36.33343418,67.46655028,45.9620751,75.27588417
Not Won,73,2,0,19.99030635,17.53108688,53.68821363,27.62250922,8.961263325
Won,62,9,1,46.27119007,53.54847876,39.96162204,8.713387533,34.6486397
Not Won,28,2,0,71.27587975,72.0022622,44.6722418,74.55724401,88.91646092
Won,45,9,0,52.11257707,47.00208219,46.18047974,57.45147972,62.82240779
Not Won,42,1,0,55.99032517,61.73928909,47.45991898,46.28962165,70.17514684
Not Won,74,0,1,17.39226189,22.1632345,32.2450979,40.01239325,12.5815858
Not Won,2,4,0,97.12228443,94.48431527,90.87796208,94.15074154,99
Won,45,7,1,48.29866325,49.54270575,48.89125399,50.88371964,65.81265203
Won,60,7,1,33.02006988,31.20503659,22.02025297,66.81838445,40.24659912
Not Won,41,3,0,41.17859359,55.90261565,42.09507809,73.85323348,71.59151189
Won,53,9,0,44.87638411,25.26911227,46.13897934,61.9419024,47.77675739
Not Won,41,7,0,45.58745894,62.76824216,37.75861181,70.02927597,68.54531693
Won,65,7,0,26.70050418,18.44107417,33.84761703,56.49068555,30.51966477
Not Won,31,7,0,72.67303805,68.29480301,60.57501674,51.73592762,81.84627713
Not Won,58,3,0,17.86494886,55.88604342,47.34570113,46.25001483,33.40985409
Not Won,37,8,0,58.76695143,59.30793321,61.00724591,54.38200475,69.85473843
Won,51,9,0,35.52044241,40.41091231,41.89138251,69.42367601,49.38706592
Not Won,37,0,0,65.92681139,61.83157125,29.32291315,67.35574163,80.61588102
Not Won,47,2,0,29.35705744,34.19822343,46.81446042,89.41210579,56.80078
Won,47,9,0,43.40747927,52.78161948,55.99915895,52.58615904,52.31063614
Not Won,40,7,0,92.1176786,43.58721165,30.45913803,45.98924803,78.41446966
Not Won,75,2,0,24.91191773,28.47312698,45.56924617,3.72542503,12.78232041
Not Won,22,4,0,81.98516325,72.17298938,81.65803189,54.41037408,87.50984915
Not Won,38,7,0,80.28299004,31.45155874,76.69566449,30.9143199,81.27794271
Not Won,32,1,0,64.67378356,69.50159653,80.19017909,43.29331304,73.86838627
Won,59,8,1,44.61102438,48.16803215,44.81527221,23.27197224,34.77191782
Not Won,42,2,0,63.52548213,61.14885386,68.30888771,20.42173287,65.94633364
Not Won,28,4,0,72.33617026,65.11776294,74.4737619,50.07251348,84.72959244
Not Won,58,3,1,27.60616655,29.92316139,17.93423746,83.76117891,40.61576434
Won,44,9,1,50.65765674,45.86217899,62.08184734,53.40773657,57.26841261
Won,36,0,1,70.47477043,77.46926614,64.08296608,25.78171852,71.02795087
Not Won,35,8,0,51.1764815,70.55766783,69.35180147,49.48144372,75.86088401
Not Won,38,5,0,47.39973827,58.79989657,74.387365,55.21685927,65.89792491
Won,66,10,0,33.40897702,24.19018194,29.91976401,43.28675512,31.0002231
Won,45,0,1,59.98599087,43.44113164,56.26219462,45.42203861,61.10841452
Won,58,7,1,50.84995977,47.8779154,52.30448228,13.51032161,38.11586435
Won,43,0,1,56.00118682,53.04237455,53.59447084,48.00106408,62.63050592
Not Won,53,3,0,1.236816592,52.07697698,84.63299721,29.99630855,58.79137216
Won,59,7,1,41.17222402,30.53687894,48.9671608,40.91239367,34.15616145
Won,58,9,1,48.40884463,51.00131815,45.75788923,14.5508348,43.65192272
Not Won,54,0,0,35.23729167,31.68626342,23.34448782,78.64117141,50.9723422
Won,65,7,1,37.96075373,39.22150041,36.35833255,27.72254349,27.53150732
Not Won,30,0,0,72.79961893,68.32259183,34.88319117,72.36221413,91.43142908
Won,52,8,1,45.21476745,45.84420278,44.42170206,48.51827919,48.63964503
Not Won,45,8,0,54.07122105,72.01362334,82.25912156,6.654306769,51.41690591
Won,58,9,0,36.86921141,35.9512833,45.35763477,49.66708886,35.17183094
Not Won,56,2,1,23.30113374,28.43808635,26.22373932,91.93419418,39.73905316
Not Won,55,1,1,28.21842738,33.34950498,19.38915088,91.78676255,42.73960351
Won,65,10,1,33.21085861,30.47074859,15.56605654,57.62017119,28.31526358
Won,61,7,0,35.08551808,37.03540565,34.69971413,39.02793879,39.52072189
Won,43,2,0,33.36161169,39.93607084,52.08571846,90.54312783,57.68982142
Not Won,18,8,0,93.52228002,66.13772893,93.38652332,53.85434761,91.75226906
Won,45,0,1,54.51547089,47.76749872,42.1066471,56.19080945,65.35941027
